Year,Team,Matches,Win_Rate,Draw_Rate,Loss_Rate,Goals_For_Per_Game,Goals_Against_Per_Game,Goal_Difference_Per_Game,Points_Per_Game
2026,Algeria,10,0.8,0.1,0.1,2.4,0.8,1.6,2.5
2026,Argentina,18,0.6666666666666666,0.1111111111111111,0.2222222222222222,1.7222222222222223,0.5555555555555556,1.1666666666666667,2.111111111111111
2026,Australia,16,0.6875,0.25,0.0625,2.375,0.4375,1.9375,2.3125
2026,Austria,8,0.75,0.125,0.125,2.75,0.5,2.25,2.375
2026,Belgium,8,0.625,0.375,0.0,3.625,0.875,2.75,2.25
2026,Bosnia and Herzegovina,10,0.5,0.4,0.1,1.9,0.9,1.0,1.9
2026,Brazil,18,0.4444444444444444,0.2222222222222222,0.3333333333333333,1.3333333333333333,0.9444444444444444,0.3888888888888889,1.5555555555555556
2026,Canada,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Cape Verde,10,0.7,0.2,0.1,1.6,0.8,0.8,2.3
2026,Colombia,18,0.3888888888888889,0.3888888888888889,0.2222222222222222,1.5555555555555556,1.0,0.5555555555555556,1.5555555555555556
2026,Croatia,8,0.875,0.125,0.0,3.25,0.5,2.75,2.75
2026,Cura̤ao,10,0.7,0.3,0.0,2.8,0.5,2.3,2.4
2026,Czechia,10,0.5,0.3,0.2,2.2,1.2,1.0,1.8
2026,DR Congo,13,0.6923076923076923,0.15384615384615385,0.15384615384615385,1.3846153846153846,0.5384615384615384,0.8461538461538461,2.230769230769231
2026,Ecuador,18,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.2777777777777778,0.5,1.7777777777777777
2026,Egypt,10,0.8,0.2,0.0,2.0,0.2,1.8,2.6
2026,England,8,1.0,0.0,0.0,2.75,0.0,2.75,3.0
2026,France,6,0.8333333333333334,0.16666666666666666,0.0,2.6666666666666665,0.6666666666666666,2.0,2.6666666666666665
2026,Germany,6,0.8333333333333334,0.0,0.16666666666666666,2.6666666666666665,0.5,2.1666666666666665,2.5
2026,Ghana,10,0.8,0.1,0.1,2.3,0.6,1.7,2.5
2026,Haiti,10,0.6,0.2,0.2,2.0,1.3,0.7,2.0
2026,Iran,16,0.6875,0.25,0.0625,2.1875,0.75,1.4375,2.3125
2026,Iraq,21,0.6190476190476191,0.23809523809523808,0.14285714285714285,1.5238095238095237,0.6666666666666666,0.8571428571428571,2.0952380952380953
2026,Ivory Coast,10,0.8,0.2,0.0,2.5,0.0,2.5,2.6
2026,Japan,15,0.8,0.13333333333333333,0.06666666666666667,3.4,0.2,3.2,2.533333333333333
2026,Jordan,16,0.5,0.3125,0.1875,2.0,0.75,1.25,1.8125
2026,Mexico,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Morocco,8,1.0,0.0,0.0,2.75,0.25,2.5,3.0
2026,Netherlands,8,0.75,0.25,0.0,3.375,0.5,2.875,2.5
2026,New Zealand,5,1.0,0.0,0.0,5.8,0.2,5.6,3.0
2026,Norway,8,1.0,0.0,0.0,4.625,0.625,4.0,3.0
2026,Panama,10,0.7,0.3,0.0,1.9,0.5,1.4,2.4
2026,Paraguay,18,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.2222222222222222,1.5555555555555556
2026,Portugal,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,3.3333333333333335,1.1666666666666667,2.1666666666666665,2.1666666666666665
2026,Qatar,18,0.5555555555555556,0.16666666666666666,0.2777777777777778,2.0555555555555554,1.5555555555555556,0.5,1.8333333333333333
2026,Saudi Arabia,18,0.4444444444444444,0.3333333333333333,0.2222222222222222,1.2222222222222223,0.7222222222222222,0.5,1.6666666666666667
2026,Scotland,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.1666666666666665,1.1666666666666667,1.0,2.1666666666666665
2026,Senegal,10,0.7,0.3,0.0,2.2,0.3,1.9,2.4
2026,South Africa,10,0.5,0.3,0.2,1.5,0.9,0.6,1.8
2026,South Korea,16,0.6875,0.3125,0.0,2.5,0.5,2.0,2.375
2026,Spain,6,0.8333333333333334,0.16666666666666666,0.0,3.5,0.3333333333333333,3.1666666666666665,2.6666666666666665
2026,Sweden,8,0.25,0.25,0.5,1.25,1.875,-0.625,1.0
2026,Switzerland,6,0.6666666666666666,0.3333333333333333,0.0,2.3333333333333335,0.3333333333333333,2.0,2.3333333333333335
2026,Tunisia,10,0.9,0.1,0.0,2.2,0.0,2.2,2.8
2026,Turkey,8,0.75,0.125,0.125,2.375,1.5,0.875,2.375
2026,United States,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Uruguay,18,0.3888888888888889,0.3888888888888889,0.2222222222222222,1.2222222222222223,0.6666666666666666,0.5555555555555556,1.5555555555555556
2026,Uzbekistan,16,0.625,0.3125,0.0625,1.6875,0.6875,1.0,2.1875
